2023-07-12 17:33:36.900 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.102 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.176 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.184 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.264 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.346 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.416 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.432 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.447 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.486 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:37.528 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:50.488 wxauto.py[210] SendMsg -> Find Control Timeout(10.0s): {Name: '输入', ControlType: EditControl}
2023-07-12 17:33:59.416 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.557 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.572 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.588 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.621 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.629 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.832 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.908 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.916 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:59.996 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:00.083 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:00.153 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:00.170 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:00.185 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:00.227 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:00.268 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:02.952 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.114 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.128 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.144 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.176 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.183 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.386 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.461 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.468 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.547 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.631 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.701 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.718 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.735 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.774 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:03.817 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:34:16.239 wxauto.py[210] SendMsg -> Find Control Timeout(10.0s): {Name: '输入', ControlType: EditControl}
2023-07-12 17:36:50.971 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:36:51.110 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:36:51.125 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
